id,categoria,subcategoria,nombre,tipología,formato,terminacion,uso,especificaciones,foto1,foto2,foto3
p001,pisos-ceramicos,Gres Ceramicos,Concret Gray,Concreto,68x68 cm,Satinado,Interior / Exterior,,CONCRET GRAY  (1).jpg,CONCRET GRAY  (2).jpg,CONCRET GRAY  (3).jpg
p002,pisos-ceramicos,Gres Ceramicos,Doha Plus,Carrara,68x68 cm,Satinado,Interior / Exterior,,DOHA PLUS  (1).jpg,DOHA PLUS  (2).jpg,DOHA PLUS  (3).jpg
p003,pisos-ceramicos,Gres Ceramicos,Avorio Gray,Plano,68x68 cm,Satinado,Interior / Exterior,,AVORIO GRAY (1).jpg,AVORIO GRAY (2).jpg,AVORIO GRAY (3).jpg
p004,pisos-ceramicos,Gres Ceramicos,Piero Gris,Carrara,68x68 cm,Satinado,Interior / Exterior,,PIERO GRIS  (1).jpg,PIERO GRIS  (2).jpg,PIERO GRIS  (3).jpg
p005,pisos-ceramicos,Gres Ceramicos,Pellegrini,Plano,68x68 cm,Satinado,Interior / Exterior,,PELLEGRINI  (1).jpg,PELLEGRINI  (2).jpg,PELLEGRINI  (3).jpg
p006,pisos-ceramicos,Gres Ceramicos,Slate Gris,Laja,68x68 cm,Rugoso,Interior / Exterior,,SLATE GRIS  (1).jpg,SLATE GRIS  (2).jpg,SLATE GRIS  (3).jpg
p007,pisos-ceramicos,Gres Ceramicos,Concret Pulido,Concreto,66x66 cm,Pulido,Interior,,CONCRET  PULIDO  (1).jpg,CONCRET  PULIDO  (2).jpg,CONCRET  PULIDO  (3).jpg
p008,pisos-ceramicos,Gres Ceramicos,Doha Plus Pulido,Carrara,66x66 cm,Pulido,Interior,,DOHA PLUS PULIDO  (1).jpg,DOHA PLUS PULIDO  (2).jpg,DOHA PLUS PULIDO  (3).jpg
p009,pisos-ceramicos,Gres Ceramicos,Vision Gray,Concreto,58x118 cm,Satinado,Interior / Exterior,,VISION GRAY (1).jpg,VISION GRAY (2).jpg,VISION GRAY (3).jpg
p010,pisos-ceramicos,Gres Ceramicos,Mahal Off,Plano,58x119 cm,Satinado,Interior / Exterior,,MAHAL OFF (1).jpg,MAHAL OFF (2).jpg,MAHAL OFF (3).jpg
p011,pisos-ceramicos,Gres Ceramicos,Olimpo,Carrara,58x120 cm,Satinado,Interior / Exterior,,OLIMPO  (1).jpg,OLIMPO  (2).jpg,OLIMPO  (3).jpg
